,中学名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
179,烟台第二中学高中部（烟台二中高中部）,山东省 烟台市 芝罘区,省重点,公办,中学,山东省烟台市芝罘区焕新路1号,0535-6696228,山东省,烟台市,芝罘区
180,怀化市铁路第一中学（怀铁一中 ）,湖南省 怀化市,省重点,公办,中学,怀化市鹤城区城北铁北区和平巷10号,0745-2183239,湖南省,怀化市,
181,杭州市长河高级中学（长河高中）,浙江省 杭州市 滨江区,省重点,公办,中学,杭州市滨江区滨文路227号（时代高架滨文路出口）,0571-86604790 86600132 86604791,浙江省,杭州市,滨江区
182,泰安市第二中学（泰安二中）,山东省 泰安市 泰山区,省重点,公办,中学,山东省泰安市泰山区虎山东路6号,0538-6235328,山东省,泰安市,泰山区
183,辽宁省康平县高级中学,辽宁省 沈阳市 康平县,市重点,公办,中学,辽宁省康平县康平镇向阳街,024-87344109,辽宁省,沈阳市,康平县
184,上海市建平中学西校,上海市 浦东新区,市重点,公办,中学,上海市浦东区东方路420号,021-58310316,上海市,上海市,浦东新区
185,青岛十七中,山东省 青岛市 四方区,省重点,公办,中学,山东省青岛市四方区杭州路80号,0532-86680017,山东省,青岛市,四方区
186,成都市七中育才学校新校区,四川省 成都市 锦江区,市重点,公办,中学,成都市锦江区牛市口汇泉南路336号,028-84442047  84442764,四川省,成都市,锦江区
187,宁波中学,浙江省 宁波市 鄞州区,省重点,公办,中学,浙江省宁波市高教园区学府路 61 号,0574-88126666 88126668,浙江省,宁波市,鄞州区
188,宁波万里国际学校（高中）,浙江省 宁波市 ,省重点,民办,中学,浙江省宁波市国家高新区腊梅路151号,0574-87916100   87900521,浙江省,宁波市,
189,昆明市第十中学（高中）,云南省 昆明市 盘龙区,省重点,公办,中学,云南省昆明市 白塔路247号,（0871）3067002,云南省,昆明市,盘龙区
190,湛江师范学院附属中学,广东省 湛江市,省重点,公办,中学,赤坎区寸金路27号,0759-3183649,广东省,湛江市,
191,杭州市外国语学校,浙江省 杭州市 西湖区,省重点,公办,中学,浙江省杭州市小和山高教园299号,0571-85289110,浙江省,杭州市,西湖区
192,烟台市第十中学,山东省 烟台市 芝罘区,市重点,公办,中学,山东省烟台市芝罘区南山路22号,0535-82211139,山东省,烟台市,芝罘区
193,海南省农垦中学,海南省 三亚市,省重点,公办,中学,海南省海口市垦中路18号,0898-86838015,海南省,三亚市,
194,西安市第八十三中学,陕西省 西安市,省重点,公办,中学,西安市咸宁中路151号,029-82160823,陕西省,西安市,
195,南京市第十二中学（高中）,江苏省 南京市 下关区,省重点,公办,中学,南京市下关区中山北路408号,025-58805530  025-58802688,江苏省,南京市,下关区
196,海南省国兴中学,海南省 海口市,省重点,公办,中学,海南省府城镇海口城南路,0898－65904730,海南省,海口市,
197,青岛市第26中学,山东省 青岛市 市南区,省重点,公办,中学,山东省青岛市市南区京山路18号,0532-83832324,山东省,青岛市,市南区
198,佛山市顺德区杏坛中学,广东省 佛山市 顺德区,省重点,公办,中学,广东省佛山市顺德区杏坛镇,0757-27781188,广东省,佛山市,顺德区
199,青岛第十九中学,山东省 青岛市 市北区,市重点,公办,中学,青岛市市北区台东一路118号,0532-83650513 83618798,山东省,青岛市,市北区
200,惠州市第八中学,广东省 惠州市 惠城区,省重点,公办,中学,广东省惠州市惠城区龙丰路2号,0752-2260964,广东省,惠州市,惠城区
201,深圳市松岗中学（文存贵纪念中学）,广东省 深圳市 宝安区,市重点,公办,中学,广东省深圳市宝安区松岗街道东方大道,0755-27081674,广东省,深圳市,宝安区
202,上海市杨浦实验学校（初中）,上海市 杨浦区,市重点,民办,中学,上海市杨浦区开鲁路40号,021-65065691,上海市,上海市,杨浦区
203,深圳市宝安中学初中部,广东省 深圳市 宝安区,省重点,公办,中学,深圳市宝安区20区洪浪南路/第二初中部：深圳市宝安区前进一路50号,0755-27758036,广东省,深圳市,宝安区
204,杭州市风帆中学,浙江省 杭州市 下城区,市重点,公办,中学,浙江省杭州市下城区朝晖六区光明巷三塘小区绿柳巷55号,0571-85331039,浙江省,杭州市,下城区
205,靖江高级中学,江苏省 泰州市 靖江市,省重点,公办,中学,泰州市靖江市通江路与渡江路交汇处,,江苏省,泰州市,靖江市
206,潮州市华侨中学,广东省 潮州市 湘桥区,省重点,公办,中学,广东省潮州市潮枫路66号,0768 220 2844,广东省,潮州市,湘桥区
207,中南大学附属实验中学（中南大学附属中学）,湖南省 长沙市 岳麓区,市重点,公办,中学,湖南长沙岳麓区麓山南路,0731-888079359,湖南省,长沙市,岳麓区
208,杭州市第二中学东河校区,浙江省 杭州市 上城区,省重点,公办,中学,杭州市建国中路36号,0571-87072869,浙江省,杭州市,上城区
209,景德镇第一中学（景德镇一中）,江西省 景德镇市,省重点,公办,中学,江西省景德镇市天翼路66号,（0798）8441380,江西省,景德镇市,
210,上海市延安中学（初中部）,上海市 长宁区,市重点,公办,中学,上海市长宁区茅台路1111号,021-62901188,上海市,上海市,长宁区
211,上海南洋模范初级中学,上海市 徐汇区,区重点,公办,中学,上海市徐汇区淮海中路1788号,021-64734696,上海市,上海市,徐汇区
212,琼州学院附属中学（原海二中）,海南省 三亚市,省重点,公办,中学,海南省五指山市海榆南路,0898-86622268     0898-86622868       邮编：572200联系地,海南省,三亚市,
213,深圳市新安中学高中部,广东省 深圳市 宝安区,省重点,公办,中学,广东省深圳市宝安区兴华路,0755-27783485,广东省,深圳市,宝安区
214,淄博市第六中学,山东省 淄博市 周村区,省重点,公办,中学,山东省淄博市周村区育才路2号,0533-6412495,山东省,淄博市,周村区
215,北京市陈经纶中学分校,北京市 朝阳区,区重点,公办,中学,北京市朝阳区望京南湖东园223号 北京市朝阳区望京利泽西街4号院,010-64703835,北京市,北京市,朝阳区
216,上海市西南模范中学（初中）,上海市 徐汇区,区重点,民办,中学,上海市徐汇区百色路汇成一村67号/临江路28号（分校）,021-64232457,上海市,上海市,徐汇区
217,上海市建平实验中学,上海市 浦东新区,市重点,公办,中学,上海市浦东区枣庄路111号,021-58505098,上海市,上海市,浦东新区
218,中卫市第三中学,宁夏 中卫市 沙坡头区,省重点,公办,中学,宁夏回族自治区中卫市中宁县沙坡头区,,宁夏,中卫市,沙坡头区
219,长春市二十九中学,吉林省 长春市 德惠市,省重点,公办,中学,长春市德惠市,0431-8848818,吉林省,长春市,德惠市
220,哈尔滨德强学校初中部,黑龙江 哈尔滨市 香坊区,市重点,民办,中学,哈尔滨香坊区公滨路58-3号,0451-55160688,黑龙江,哈尔滨市,香坊区
221,北京牛栏山一中实验学校,北京市 顺义区,区重点,民办,中学,北京市顺义区新城顺安路99号,010-81480901,北京市,北京市,顺义区
222,厦门市湖滨中学,福建省 厦门市 思明区,省重点,公办,中学,福建省厦门市思明区湖滨三里1号,0592-5056640,福建省,厦门市,思明区
223,大同市第一中学（大同一中）,山西省 大同市,省重点,公办,中学,山西省大同市向阳东街1号,0352-5196128,山西省,大同市,
224,广州市铁一中学（越秀区）,广东省 广州市 越秀区,省重点,公办,中学,广东省广州市越秀区东兴南路文化里13号,020－61330691 020－61330979,广东省,广州市,越秀区
225,长沙市第十五中学,湖南省 长沙市 芙蓉区,省重点,公办,中学,湖南省长沙市芙蓉中路二段337号,0731-5535153-8000,湖南省,长沙市,芙蓉区
226,四川省江油中学,四川省 绵阳市 江油市,省重点,公办,中学,四川省江油市长城大道,0816-8180018 0816-3652670,四川省,绵阳市,江油市
227,湘潭县第四中学,湖南省 湘潭市 湘潭县,省重点,公办,中学,湖南省湘潭市排头乡同心村,0731-57262108,湖南省,湘潭市,湘潭县
228,河北师范大学附属中学,河北省 石家庄市,省重点,公办,中学,河北省石家庄市中山东路315号,0311--6047521,河北省,石家庄市,
229,垦利县垦利镇第一中学（垦利一中）,山东省 东营市 垦利县,省重点,公办,中学,山东省东营市垦利县垦利镇政府驻地,0546-2527159,山东省,东营市,垦利县
230,四川省大邑中学,四川省 成都市 大邑县,省重点,公办,中学,四川省大邑县晋原镇邑新大道188号,028-88296990（行办） 028-88280346（信息中心）,四川省,成都市,大邑县
231,深圳外国语学校初中部,广东省 深圳市 福田区,省重点,公办,中学,广东省深圳市福田区红荔路2005号,0755-83354153  0755-25282036,广东省,深圳市,福田区
232,云南玉溪市第四中学,云南省 玉溪市 红塔区,省重点,公办,中学,云南省玉溪市红塔区文化路11号,0877-2023863,云南省,玉溪市,红塔区
233,佛山市南庄高级中学,广东省 佛山市 禅城区,省重点,公办,中学,佛山市禅城区南庄镇南庄高中,0757-85333234,广东省,佛山市,禅城区
234,秦皇岛市第三中学,河北省 秦皇岛市,省重点,公办,中学,河北省秦皇岛市河北大街中段92号,0335-3032316,河北省,秦皇岛市,
235,上海市民办平和学校,上海市 浦东新区,市重点,民办,中学,上海市浦东新区黄杨路261号,021-50312340,上海市,上海市,浦东新区
236,北京师范大学附属杭州中学（勇进中学）,浙江省 杭州市 上城区,市重点,公办,中学,浙江省杭州市上城区惠民路5号,0571-87087340,浙江省,杭州市,上城区
237,南京市人民中学,江苏省 南京市 玄武区,省重点,公办,中学,江苏省南京市玄武区中山路178号,025-68537008,江苏省,南京市,玄武区
238,宁波市鄞州中学,浙江省 宁波市 鄞州区,省重点,公办,中学,宁波市鄞州区邱隘盛垫桥,0547-88357420 28819027,浙江省,宁波市,鄞州区
239,桂林市第十八中学,广西 柳州市,省重点,公办,中学,广西桂林市横塘路17号,0773-5865365,广西,柳州市,
240,贵州师范大学附属中学,贵州省 贵阳市 云岩区,省重点,公办,中学,贵州省贵阳市宝山北路199号,0851-—5934305,贵州省,贵阳市,云岩区
241,广州市越秀区二中应元学校（二中应元）,广东省 广州市 越秀区,省重点,民办,中学,广东省广州市越秀区应元路7号,020-83560977转8822、8823 020-83567292,广东省,广州市,越秀区
242,贵阳市第六中学,贵州省 贵阳市 云岩区,省重点,公办,中学,贵阳市中华北路238号　,0851-6824704,贵州省,贵阳市,云岩区
243,南宁市天桃实验学校（初中部）,广西 南宁市 青秀区,市重点,公办,中学,广西壮族自治区南宁市青秀区教育路2号 东葛路,0771-5326203 	 15907713598,广西,南宁市,青秀区
244,淄博市桓台县鱼龙中学,山东省 淄博市 桓台县,省重点,公办,中学,山东省淄博市桓台县起凤镇中心街8号,0533-8681393,山东省,淄博市,桓台县
245,广西柳州高级中学,广西 柳州市,市重点,公办,中学,东台路44号,0772-2822557,广西,柳州市,
246,长沙市田家炳实验中学,湖南省 长沙市 长沙县,省重点,公办,中学,湖南省长沙市芙蓉区古汉路1号,0731-2686278,湖南省,长沙市,长沙县
247,青海市湟川中学,青海省 西宁市 城西区,省重点,公办,中学,青海省西宁市城西区海晏路苏家河湾2号,0971-6318636,青海省,西宁市,城西区
248,太原市第三十七中学,山西省 太原市 迎泽区,省重点,公办,中学,山西省太原市迎泽区文源西巷29号,0351-2027695,山西省,太原市,迎泽区
249,浙江省苍南中学,浙江省 温州市 苍南县,省重点,公办,中学,浙江省温州市苍南县灵溪镇仁英路,0577-64838682，64838640,浙江省,温州市,苍南县
250,平度市西关中学,山东省 青岛市 平度市,省重点,公办,中学,山东省青岛市南京路,0532-88336677,山东省,青岛市,平度市
251,武汉市水果湖高级中学,湖北省 武汉市 武昌区,省重点,公办,中学,武汉市武昌区东湖路74号,027-87231067,湖北省,武汉市,武昌区
252,嘉兴市秀州中学,浙江省 嘉兴市,省重点,公办,中学,浙江省嘉兴市禾兴北路1309号 南湖区大新路秀洲中学,0573—82221518  82225758,浙江省,嘉兴市,
253,云南省腾冲第一中学（腾冲一中）,云南省 保山市 腾冲县,省重点,公办,中学,云南省腾冲县腾越镇山源社区沙家巷小区1号,0875-5131137,云南省,保山市,腾冲县
254,山东省青州市第一实验中学（青州第一实验中学）,山东省 潍坊市,省重点,公办,中学,青州市云门山北路1791号,0536-7556489,山东省,潍坊市,
