,地址,电话,网址,城市
北京崇文门中学,北京市崇文区东花市北里西区5号,010-67189510,www.bjcwm.cn,北京
北京第四十九中学,崇文区幸福大街43号,"010-65114555,67144555",,北京
北京第四十二中学,北京市西城区月坛西街3号,010-68010447 010-68011079,,北京
北京市第九十八中学,西直门南小街17号(近通信大厦),,,北京
北京第十六中学,朝阳区松园北路,010-64389061 010-84312061,,北京
北京德茂中学,〔北京市〕大兴区旧宫德茂庄德裕街14号,,,北京
北京大杜社中学,马驹桥镇大杜社,,http://www.btdzx.com,北京
北京采育镇凤河营中学,凤采育镇凤河营中学,010-80202814,,北京
北师大密云实验中学,,,,北京
宝泉岭高级中学,,,,北京
北京李各庄中学,,,,北京
北方交通大学附属中学 ,中国北京海淀区皂君庙12号,010-62166616,http://www.bfjdfz.net,北京
北京胡各庄中学,,,,北京
北京庞各庄中学,,,,北京
北京延庆县永宁中学,北京市延庆县永宁镇永宁中学,010-60173088 许荷叶、徐艳明、付晨,,北京
北京101中学 ,北京市海淀区颐和园路11号,010-62566753,,北京
北京161中学 ,北京市西城区西长安街1号,010-66055627,,北京
顺义区北石槽中学 ,北京市顺义区北石槽镇府前西街4号电话：010-60422123,010-60422123,,北京
顺义区北务中学 ,北京市顺义区北务镇商业街7号电话：010-61421946,010-61421946,,北京
北京105中学 ,北京市海淀区高粱桥斜街3号电话：010-62181395,010-62181395,,北京
北京梨园中学,,,,北京
通州区北关中学,,,,北京
北京龙旺庄中学,,,,北京
北京青龙湖中学,,,,北京
北京窦各庄中学,,,,北京
北京张坊中学,,,,北京
北京韩村河中学,,,,北京
北京坨里中学,,,,北京
北京旧宫中学,,,,北京
北京长子营中学,,,,北京
北京魏善庄中学,,,,北京
北京定福庄中学,,,,北京
北大青鸟昌平校区,,,,北京
北京马池口中学,,,,北京
延庆县大榆树中学,,,,北京
北京八一中学,,,,北京
北京西坝河中学,,,,北京
北京中关村中学,,,,北京
北京110中学,,,,北京
北京板桥中学,,,,北京
北京北臧村中学,,,,北京
怀柔区渤海中学,,,,北京
北京北达资源中学,北京市海淀区北京大学畅春园,010-62757187,http://bdzy.pku.edu.cn,北京
北京北海中学,,,,北京
北京平谷中学,,,,北京
北京门楼庄中学,,,,北京
北京李遂中学,,,,北京
北京延庆县张山营中学,,,,北京
北京拔萃双语学校,,,,北京
大榆树中学,,,,北京
北京北纬路中学,北京市西城区北纬路46号,010-63030414,,北京
房山区长阳中学,,,,北京
北京北洛中学,,,,北京
北京崔村中学,,,,北京
北京大辛庄中学,,,,北京
北京南彩中学,,,,北京
北京北七家中学,北京市昌平区北七家镇羊各庄村,010-69751274,,北京
北京房山区良乡中学,近郊房山区南关东路5号,010-69352605 010-69376388,,北京
北京八大处中学,北京市石景山区八大处路8号,010-88962352,http://cz.sjsedu.cn,北京
北京市房山区长沟中学,北京市房山区长沟中学,010-61361809,,北京
北京山东庄中学,,,,北京
北京北房中学,,,,北京
北京雁栖学校,,,,北京
北京九渡河中学,,,,北京
北京杨宋中学,,,,北京
北京史各庄中学,,,,北京
北京百善中学,,,,北京
北京兴寿中学,,,,北京
北京南邵中学,,,,北京
北京安定中学,,,,北京
北京榆垡中学,,,,北京
北京赵各庄中学,北京市顺义区张镇赵各庄村,010-61491214,,北京
北京次渠中学,,,,北京
北京宋庄中学,,,,北京
北京马驹桥中学,,,,北京
北京西集中学,,,,北京
北京陆辛庄中学,,,,北京
北京张家湾中学,,,,北京
北京新华学校,,,,北京
北京台湖中学,,,,北京
北京岳各庄中学 ,北京市房山区韩村河镇岳各庄村岳各庄大街甲2号,010-61311757,,北京
北京周口店镇长沟峪中学,,,,北京
北京蒲洼乡中学,,,,北京
密云第六中学,,,,北京
北京铁第三中学,,,,北京
北京北师大二附属中学,北京市西城区新街口外大街12号,010-62042244,,北京
北京钢院附属中学,北京市海淀区志新路36号,010-82380909-2155   62310935,,北京
北京燕化附属中学,,,,北京
北京北航附属中学,,,,北京
北京大学附属中学香山学校,北京市海淀区香山南路南辛村1号,010-82597165,,北京
北京北师大附属中学中学部,,,,北京
北京首医大附属中学,,,,北京
中央工艺美院附属中学,,,,北京
北京北大附属中学香山分校,北京市海淀区南辛村1号,,http://xsxx.bjedu.cn,北京
北京花园路职业中学,,,,北京
北京外语电子职业中学,,,,北京
北京理工职业中学,,,,北京
北京云岗职业中学,,,,北京
北京第四职业中学　,,,,北京
北京第四职业中学,,,,北京
北京丰台区丰台第六中学,,,,北京
北京第四十一中学,北京市西城区西四北二条58号,010-66162353,http://www.bj41z.com,北京
北京第八十五中学,,,,北京
平谷县第五中学,,,,北京
怀柔县第五中学,,,,北京
北京第八十八中学,,,,北京
北京第七十九中学,,,,北京
怀柔县第四中学,,,,北京
北京第四十八中学,,,,北京
北京第四十五中学,,,,北京
北京第九十五中学,,,,北京
北京第七十八中学,北京市西城区里仁街10号,010-63522775,,北京
平谷县第六中学,,,,北京
北京古城第四中学,,,,北京
北京第五十一中学,,,,北京
北京一零第九中学,,,,北京
北京铁路职工子弟第四中学,,,,北京
北京第七十七中学,,,,北京
北京第五十九中学,,,,北京
北京汇文中学中学部,,,,北京
北京外国语学校中学部,朝阳区亚运村慧忠北里203号,010-64860864,http://www.cyfls.net,北京
北京东铁匠营第二中学,,,,北京
北京劲松第二中学,,,,北京
北京松榆里第二中学,,,,北京
怀柔县第二中学,,,,北京
北京双榆树第二中学,,,,北京
北京大兴区黄村第二中学,,,,北京
北京团结湖第二中学,,,,北京
北京铁路分局铁路职工子弟第二中学,,,,北京
北京金顶街第二中学,,,,北京
北京峪口第二中学,,,,北京
北京大兴区安定第二中学,,,,北京
北京清河第三中学,,,,北京
北京铁路第三中学,北京市西城区三里河东路9号,010-68513970,,北京
北京东高地第三中学,,,,北京
北京第三十二中学,,,,北京
怀柔县第三中学,,,,北京
北京铁路分局铁路职工子弟第三中学,,,,北京
北京劲松第三中学,,,,北京
北京西第四中学,北京市西城区西四北大红罗厂街25号,010-66175676-811/818 马明川 穆颖,,北京
北京新东方国际中学,,,,北京
北京第六一中学,北京市海淀区定慧西里17号,,http://www.lyzx.org,北京
北京五路居第一中学,北京市朝阳区安定门外安贞西里一区13号楼,010-64420115,,北京
北京第一二二中学,,,,北京
北京第一八四中学,,,,北京
北京第一零第五中学,北京市海淀区高粱桥斜街3号,010-62181395,,北京
北京第一六四中学,,,,北京
北京第一二六中学,,,,北京
北京第一二三中学,,,,北京
北京第一四三中学,,,,北京
北京第一二八中学,,,,北京
北京第一八一中学,,,,北京
北京第一九五中学,,,,北京
怀柔县第一中学,,,,北京
北京第一七三中学,,,,北京
北京酒仙桥长第一中学,,,,北京
北京第一八二中学,,,,北京
北京第一七八中学,,,,北京
北京第一八九中学,,,,北京
北京云岗第一中学,,,,北京
北京垂杨柳第一中学,,,,北京
北京第一三九中学,,,,北京
北京第一三三中学,,,,北京
北京第一一六中学,,,,北京
北京第一三六中学,,,,北京
北京第一七九中学,,,,北京
北京长辛店第二中学,,,,北京
北京温泉第二中学,北京海淀温泉镇环山村2号院,010-62456591,http://www.wqez.bjedu.go...,北京
北京永乐第二中学,,,,北京
北京大兴区礼贤第二中学,,,,北京
北京房山区周口店第二中学,,,,北京
北京朝阳实验小学,,,,北京
北京黄冈教育实验学校,,,,北京
北京牛栏山一中实验学校,,,,北京
北京清华育才实验学校,北京市海淀区万泉河路83号,010-62859436,http://www.qhyucai.com,北京
北京北师大亚太实验学校,,,,北京
北京宣武区外国语实验学校,北京市西城区南菜园街35号,010-63522427,http://www.flesedu.com,北京
北京育才实验学校,,,,北京
北京北大附属实验学校,北京市丰台区明春苑小区,83701122,http://www.pkuschool.net...,北京
北京双秀实验学校,,,,北京
北京方致实验学校,,,,北京
北京二十一世纪实验学校,北京市海淀区恩济庄46号,010-88124903,http://www.21ces.com.cn,北京
北京女子实验中学,北京市朝阳区劲松三区310楼,010-87783899,,北京
北京师范大学附属实验中学附属北潞园学校,,,,北京
北京实验外国语学校,,,,北京
北京崇文实验中学,,,,北京
北京尚丽外国语学校,北京市海淀区香山南路四统碑,(010)62590967,,北京
北京江山外国语学校,,,,北京
北京北外附属外国语学校,北京市海淀区西二旗大街19号,010-82748820 8274882,http://www.bwfx.com.cn,北京
北京中关村外国语学校,北京市海淀区大钟寺太阳园小区14号楼,010-82139966,http://www.zgcschool.cn,北京
北京东高地外国语学校,北京市丰台区东高地斜街1号,010-67991873,,北京
北京第一六五中学,北京市东城区育群胡同45号,010-64041650,site.dcjy.net/school/165,北京
北京展览路第一小学,,,,北京
北京长辛店第一中学,,,,北京
北京第一零一中学,,,,北京
北京第一一O中学,,,,北京
中国建筑第一工程局子弟中学,,,,北京
北京牛山第二中学,,,,北京
北京北方交通大学第二附属中学,,,,北京
北京团结湖第三中学,,,,北京
北京育才学校,北京市西城区东经路21号,010-83102075,http://www.bjyucai.com,北京
北京诚谊高级中学,,,,北京
北京第十四中学大兴安定分校,,,,北京
北京理工大学附属中学分校,北京市海淀区紫竹院南路11号,010-68421542,http://www.lgfzfx.com.cn...,北京
北京陈经纶中学分校,北京市朝阳区望京南湖东园223号,64703835,http://www.cjlfx.net.cn,北京
北京北方职业技术学校,,,,北京
北京国艺艺术学校,,,,北京
北京职业学校,,,,北京
北京贝贝高乐,,,,北京
北京第十四中,,,,北京
北京石油学院附属中学,,,,北京
中国建筑材料科学研究院附属中学,北京市朝阳区管庄东里建院附中,010-65761596,,北京
北京夏各庄中学,,,,北京
北京密云县巨各庄中学,,,,北京
北京对外经济贸易大学附属中学,,,,北京
平谷县张各庄中学,,,,北京
西田各庄中学,,,,北京
延庆县张山营中学,,,,北京
北京私立京华--华诚学校,,,,北京
北京国际学校,北京市海淀区旱河路368号-2,010-88438003,,北京
北京171中学,北京市东城区和平里北街8号（本部）安外大街兴化路9号（北校）,010-64212702(本部)  84280697(北校),,北京
北京西城区裕中中学 ,北京市西城区德外裕中西里21号,010-62000728,,北京
北京峪口中学,北京市平谷区峪口镇西大街50号,010-61906037,,北京
北京同文中学,北京市石景山区永乐东区,010-68653297,,北京
北京牛堡屯学校,北京市通州区张家湾镇牛堡屯中街村,010-69581396,,北京
北京少林寺文武学校,北京市房山区拱辰街道广阳西路2号（黄辛庄路口）,010-89366691,,北京
北京王平中学,北京市门头沟区王平镇西石古岩村,010-61859455,,北京
北京忠德学校,北京市朝阳区东苇路9号,010-51397600,,北京
北京上庄中学,,,,北京
北京永丰中学,,,,北京
北京清河中学,,,,北京
北京第154中学,,,,北京
北京英才学校,,,,北京
北京绩溪中学,,,,北京
北京南苑中学,,,,北京
通州区宋庄中学,,,,北京
北京小海中学,,,,北京
北京第3中学,,,,北京
房山区韩村河中学,,,,北京
北京民族中学,,,,北京
北京大兴魏善庄中学,,,,北京
昌平区兴寿中学,,,,北京
北京解放路中学,,,,北京
北京天通苑学校,,,,北京
北京怀柔县桥梓中学,,,,北京
北京桥梓中学,,,,北京
北京长哨营满族中学,,,,北京
北京平谷区第七中学,,,,北京
北京平谷区第九中学,,,,北京
北京平谷区第八中学,,,,北京
北京育新中学,,,,北京
北京密云县冯家峪中学,,,,北京
北京密云县河南寨中学,,,,北京
北京密云县新农村中学,,,,北京
穆家峪中学,,,,北京
北京六道河中学,,,,北京
北京香营学校,,,,北京
北京第六十一中学,,,,北京
北京第80中学,,,,北京
北京私立北方中学,,,,北京
北京南川中学,,,,北京
北京电影学院,,,,北京
北京北方交通大学,,,,北京
北京八维研修学院,,,,北京
北京大学附属小学,,,,北京
北京165中学,,,,北京
北京156中学,,,,北京
北京京源中学,,,,北京
北京177中学,,,,北京
北京第206中学,,,,北京
北京剑桥中学,,,,北京
北京新英才学校,,,,北京
北京蒲公英中学,,,,北京
北京少林寺文武校,,,,北京
北京第15中学,,,,北京
北京前进大学,,,,北京
北京爱迪学校,北京市朝阳区楼梓庄路7号,010-84392288,http://www.nitbj.com,北京
北京首都师范大学附属育新学校,北京市海淀区西三旗育新花园34号,01082902204,http://www.yuxinschool.c...,北京
北京兴涛学校,北京市大兴区兴华大街北路十段,010-60259749,,北京
北京大皮营中学,,,,北京
北京西苑中学,,,,北京
